100,0.18774,1.05915
200,0.63200,3.84822
300,1.38131,8.48891
400,2.41414,14.95638
500,3.74710,23.37139
600,5.37140,33.77279
700,7.39262,45.87172
800,9.46669,59.87370
900,12.18487,75.80251
1000,14.99919,93.42167
